Order to Dispatch Status Report - TAPARIA IMPEX PVT LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Left,Image,Sales Order No,Design No,DivisionName,Party Name,Order Date,Design MRP,SO Qty,Lot Qty,Dispatch Qty,Dispatch%,SO Open?,Prod Active?,Order Value,Sale Value,Order Created By,Expected DDemoivery Date,# of Lots,# of Articles,PO Days Diff,Is FabricPORaised,Is TrimsPORaised,Fabric PO Days Diff,Trims PO Days Diff,Last Dispatch Date,Pending Qty,Ready Stock,Assorted Qty,Rejected Qty,Accesories,Accesories_Thread,Consumables,Knits -Fabric,Packing Material,Printing Chemical,Woven-Fabric,Consumption,Accesories,Accesories_Thread,Consumables,Knits -Fabric,Packing Material,Printing Chemical,Woven-Fabric,CUTTING_OutQty,CUTTING_InQty,CUTTING_OutDate,CUTTING_InDate,CUTTING_JWCost,CUTTING_JWName,Pending CUTTING,#Days CUTTING,PRINTING_OutQty,PRINTING_InQty,PRINTING_OutDate,PRINTING_InDate,PRINTING_JWCost,PRINTING_JWName,Pending PRINTING,#Days PRINTING,EMBRODIERY_OutQty,EMBRODIERY_InQty,EMBRODIERY_OutDate,EMBRODIERY_InDate,EMBRODIERY_JWCost,EMBRODIERY_JWName,Pending EMBRODIERY,#Days EMBRODIERY,STITCHING_OutQty,STITCHING_InQty,STITCHING_OutDate,STITCHING_InDate,STITCHING_JWCost,STITCHING_JWName,Pending STITCHING,#Days STITCHING,STITCH_TO_PACK_OutQty,STITCH_TO_PACK_InQty,STITCH_TO_PACK_OutDate,STITCH_TO_PACK_InDate,STITCH_TO_PACK_JWCost,STITCH_TO_PACK_JWName,Pending STITCH_TO_PACK,#Days STITCH_TO_PACK,WASHING_OutQty,WASHING_InQty,WASHING_OutDate,WASHING_InDate,WASHING_JWCost,WASHING_JWName,Pending WASHING,#Days WASHING,IRON_TO_FINISHING_OutQty,IRON_TO_FINISHING_InQty,IRON_TO_FINISHING_OutDate,IRON_TO_FINISHING_InDate,IRON_TO_FINISHING_JWCost,IRON_TO_FINISHING_JWName,Pending IRON_TO_FINISHING,#Days IRON_TO_FINISHING,PACKING_Finishing_OutQty,PACKING_Finishing_InQty,PACKING_Finishing_OutDate,PACKING_Finishing_InDate,PACKING_Finishing_JWCost,PACKING_Finishing_JWName,Pending PACKING_Finishing,#Days PACKING_Finishing,Fabric Days,Trims Days,Total Days,Ideal Days,IDemoe Days,RM Cost,JW Cost,Total Cost,Cost Per Pcs,Cost / CostSheet,GP,Cut To Ship
3,,02656/25-26,Demo-MU-KN-CA-TS-HS-OS-0640-0925,Knits - Men,C2 ltd,05/09/25,299.00,1620,1620,0,0,Yes,True,291600.00,,Saikat Kr Das,10/04/26,1,1,4,Yes,Yes,4,4,,1620,0,0,0,,,,,2,,,0.333,2131.6,,,155198.55,2910,,,1620.00,1574.00,28/02/2026,02/03/2026,1574.00,"KNITS CUTTING (BLOCK- 4, 1ST FLOOR)",46,2,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,1574.00,1580.00,02/03/2026,11/03/2026,23700.00,BLOCK 4 STICHING BAPI GAZI,0,9,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,1407.00,1406.00,12/03/2026,19/03/2026,5624.00,TG ENTERPRISE,1,7,-,-,-,-,-,-,0,0,166,40,19,18,1,160240.15,30898.00,191138.15,121.43,0.00,-191138.15,0
3,,02653/25-26,Demo-MU-KN-CA-TS-HS-OS-0637-0925,Knits - Men,C2 ltd,05/09/25,299.00,2934,2934,0,0,Yes,True,528120.00,,Saikat Kr Das,10/04/26,1,1,4,Yes,Yes,4,4,,2934,0,0,0,3,,,,,,,0.314,11580.6,3720,,375740.1,7900,,,2934.00,2958.00,18/03/2026,20/03/2026,2958.00,"KNITS CUTTING (BLOCK- 4, 1ST FLOOR)",0,2,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,2958.00,2912.00,20/03/2026,04/04/2026,43680.00,BLOCK 4 STICHING BAPI GAZI,46,15,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,166,40,17,17,0,398940.70,46638.00,445578.70,150.64,0.00,-445578.70,0
3,,02655/25-26,Demo-MU-KN-CA-TS-HS-OS-0639-0925,Knits - Men,C2 ltd,05/09/25,299.00,2190,2190,0,0,Yes,True,394200.00,,Saikat Kr Das,10/04/26,1,1,4,Yes,Yes,4,4,,2190,0,0,0,2,,,,,,,0.344,9815,,,219423.09,,,,2190.00,2088.00,26/02/2026,28/03/2026,2088.00,"KNITS CUTTING (BLOCK- 4, 1ST FLOOR)",102,30,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,2088.00,0.00,30/03/2026,-,-,BLOCK 4 STICHING BAPI GAZI,2088,9,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,166,40,30,39,-9,229238.09,2088.00,231326.09,110.79,0.00,-231326.09,0
3,,02652/25-26,Demo-MU-KN-CA-TS-HS-OS-0636-0925,Knits - Men,C2 ltd,05/09/25,299.00,3443,3443,0,0,Yes,True,619740.00,,Saikat Kr Das,10/04/26,1,1,4,Yes,Yes,4,4,,3443,0,0,0,3,,,,,,,0.326,15917.3,4872,,478772.2,10980,,,3443.00,3442.00,26/02/2026,05/03/2026,3442.00,"KNITS CUTTING (BLOCK- 4, 1ST FLOOR)",1,7,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,3442.00,3490.00,24/02/2026,17/03/2026,52350.00,"BLOCK 4 STICHING BAPI GAZI, BUMBLE BEE GARMENTS PVT. LTD.",0,21,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,3318.00,0.00,18/03/2026,-,-,TIPL BLOCK 4 2ND FLOOR FINISHING ( MUNNA DA ),3318,21,-,-,-,-,-,-,0,0,166,40,21,49,-28,510541.50,55792.00,566333.50,164.54,0.00,-566333.50,0
-123,,02668/25-26,SC-Demo-WO-CA-SH-HS-RF-00836-0925,Woven,HOME2,08/09/25,399.00,4800,0,0,0,Yes,True,1104000.00,,Diwakar Kumar,05/12/25,0,1,1,Yes,No,1,1,,4800,0,0,0,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,0,0,0,0,0.00,0.00,0.00,,0.00,0,0
25,,02686/25-26,Demo-JB-WO-CA-SH-HS-RF-00856-0926,Woven,market lmtd,08/09/25,199.00,3000,3000,0,0,Yes,True,354000.00,,MD SAMIM SK,02/05/26,1,1,37,Yes,Yes,37,37,,3000,0,0,0,6053,,,,,,,0.616,17080,,,,,,174135,3000.00,3008.00,03/01/2026,17/01/2026,4512.00,TIPL- LINE NO-4,0,14,3008.00,3008.00,17/01/2026,22/01/2026,15040.00,BALAJI PRINTER,0,5,-,-,-,-,-,-,0,0,3008.00,3008.00,10/01/2026,10/03/2026,100768.00,TIPL- LINE NO-4,0,59,-,-,-,-,-,-,0,0,3008.00,3008.00,11/03/2026,12/03/2026,18048.00,RAZA WASHING PROCESS,0,1,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,114,73,68,79,-11,191215.00,138368.00,329583.00,109.57,0.00,-329583.00,0
25,,02685/25-26,Demo-JB-WO-CA-SH-HS-RF-00855-0926,Woven,market lmtd,08/09/25,199.00,3000,3000,0,0,Yes,True,354000.00,,MD SAMIM SK,02/05/26,1,1,37,Yes,Yes,37,37,,3000,0,0,0,6453,,,,,,,0.593,17880,,,,,,151629.25,3000.00,3008.00,03/01/2026,17/01/2026,4512.00,TIPL- LINE NO-4,0,14,3008.00,3008.00,17/01/2026,02/02/2026,15040.00,BALAJI PRINTER,0,16,-,-,-,-,-,-,0,0,3008.00,3008.00,10/01/2026,22/03/2026,103776.00,TIPL- LINE NO-4,0,71,-,-,-,-,-,-,0,0,3001.00,3001.00,23/03/2026,26/03/2026,18006.00,RAZA WASHING PROCESS,0,3,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,114,73,82,104,-22,169509.25,141334.00,310843.25,102.85,0.00,-310843.25,0
-67,,02702/25-26,Demo-Demo-UP-HS-2111-0825,Knits - Kids,Style fashion,09/09/25,199.00,3600,3600,0,0,Yes,True,457200.00,,SAYANTANI NANDI,30/01/26,1,1,11,Yes,Yes,11,11,,3600,0,0,50,2,,,,,,,0.154,38397,,,188780.4,,,,3600.00,3552.00,05/12/2025,27/12/2025,3552.00,RIDHI SIDHI APPARDemoS,48,22,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,3552.00,3552.00,18/12/2025,14/02/2026,109366.08,RIDHI SIDHI APPARDemoS,0,58,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,87,70,71,80,-9,227177.40,122549.16,349726.56,98.46,0.00,-349726.56,0
-87,,02700/25-26,Demo-Demo-UP-HS-2109-0825,Knits - Kids,Style fashion,09/09/25,199.00,3600,3600,0,0,Yes,True,457200.00,,SAYANTANI NANDI,10/01/26,1,1,11,Yes,Yes,11,11,,3600,0,0,0,2,,,,,,,0.151,28024,,,197836.1,6545,,,3600.00,3472.00,17/12/2025,23/12/2025,3472.00,TAPARIA KHILKAPUR ( LAXMI GARMENTS ),128,6,3472.00,3472.00,29/12/2025,30/01/2026,24304.00,BASUKI PRINT,0,32,-,-,-,-,-,-,0,0,3472.00,3472.00,31/01/2026,11/02/2026,41664.00,MM Textiles,0,11,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,3435.00,3445.00,12/02/2026,14/02/2026,8095.75,JAMINUL MONDAL,0,2,-,-,-,-,-,-,0,0,78,70,59,51,8,232405.10,77535.75,309940.85,87.13,0.00,-309940.85,0
-87,,02690/25-26,Demo-Demo-UP-HS-2100-0825,Knits - Kids,Style fashion,09/09/25,199.00,3600,3600,0,0,Yes,True,457200.00,,SAYANTANI NANDI,10/01/26,1,1,11,Yes,Yes,11,11,,3600,0,0,0,,,,,1,,,0.163,9070,1740,,240894.8,7162,,,3600.00,3408.00,06/02/2026,10/02/2026,3408.00,"KNITS CUTTING (BLOCK- 4, 1ST FLOOR)",192,4,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,3408.00,3407.00,11/02/2026,25/02/2026,42587.50,BLOCK 4 STICHING BAPI GAZI,1,14,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,3407.00,3407.00,26/02/2026,28/02/2026,4599.45,4TH FLOOR IRONING,0,2,3407.00,3302.00,26/02/2026,28/02/2026,3302.00,RAJ SARKAR (GARMENTS FINISHING CONTRACTOR),105,2,86,70,22,22,0,258866.80,53896.95,312763.75,91.77,0.00,-312763.75,0
25,,02726/25-26,Demo-Demo-WO-CA-SH-HS-RF-00866-0925,Woven,market lmtd,12/09/25,249.00,3000,3000,0,0,Yes,True,450000.00,,MD SAMIM SK,02/05/26,1,1,33,Yes,Yes,33,33,,3000,0,0,0,6060,,,,2753,,,0.81,17628,,,,4878.87,,212064,3000.00,2784.00,03/01/2026,17/01/2026,4176.00,TIPL- LINE NO-4,216,14,2784.00,2784.00,11/02/2026,11/02/2026,13920.00,BALAJI PRINTER,0,1,-,-,-,-,-,-,0,0,2784.00,2784.00,10/01/2026,10/03/2026,93264.00,TIPL- LINE NO-4,0,59,-,-,-,-,-,-,0,0,2784.00,2784.00,11/03/2026,12/03/2026,16704.00,RAZA WASHING PROCESS,0,1,2753.00,2753.00,31/03/2026,06/04/2026,10736.70,AWANTIKA ENTERPRISES,0,6,-,-,-,-,-,-,0,0,110,69,93,81,12,234570.87,138800.70,373371.57,134.11,0.00,-373371.57,0
25,,02727/25-26,Demo-Demo-WO-CA-SH-HS-RF-00867-0925,Woven,market lmtd,12/09/25,249.00,3000,3000,0,0,Yes,True,450000.00,,MD SAMIM SK,02/05/26,1,1,33,Yes,Yes,33,33,,3000,0,0,0,6060,,,,2515,,,0.797,17628,,,,5115,,154901,3000.00,2784.00,03/01/2026,21/01/2026,4176.00,TIPL- LINE NO-4,216,18,2784.00,2784.00,21/01/2026,11/02/2026,13920.00,BALAJI PRINTER,0,21,-,-,-,-,-,-,0,0,2784.00,2757.00,10/01/2026,22/03/2026,92359.50,TIPL- LINE NO-4,27,71,-,-,-,-,-,-,0,0,2650.00,2650.00,22/03/2026,23/03/2026,15900.00,RAZA WASHING PROCESS,0,1,2689.00,0.00,30/03/2026,-,-,SHANKAR ENTERPRISE IN HOUSE,2689,9,-,-,-,-,-,-,0,0,110,69,79,120,-41,177644.00,126355.50,303999.50,108.99,0.00,-303999.50,0
53,,02801/25-26,Demo-JG-LO-FP-2190-0925,Knits - Kids,bangur client,18/09/25,149.00,2000,2000,1096,54.8,Yes,True,190000.00,97872.80,Titly Paul,30/05/26,1,1,54,No,Yes,54,0,30/01/26,904,1096,0,0,3840,,,,,,,0.112,1009.6,,,94484.7,,,,2000.00,2000.00,10/11/2025,25/11/2025,2000.00,KK TAILOR,0,15,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,2000.00,2000.00,25/11/2025,06/01/2026,77020.00,KK TAILOR,0,42,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,0,60,57,57,0,95494.30,79020.00,174514.30,87.26,0.00,-76641.50,54.8
53,,02796/25-26,Demo-JG-LO-FP-2185-0925,Knits - Kids,bangur client,18/09/25,149.00,2000,2000,1096,54.8,Yes,True,190000.00,97872.80,Titly Paul,30/05/26,1,1,0,Yes,Yes,0,0,30/01/26,904,1096,0,0,4839,,,,,,,0.109,1127.64,,,104487,,,,2000.00,2200.00,13/11/2025,05/12/2025,2200.00,KK TAILOR,0,22,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,2200.00,2376.00,05/12/2025,05/01/2026,71066.16,KK TAILOR,0,31,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,56,60,53,53,0,105614.64,73266.16,178880.80,81.31,0.00,-81008.00,49.8
53,,02799/25-26,Demo-JG-LO-FP-2188-0925,Knits - Kids,bangur client,18/09/25,149.00,2000,2000,1096,54.8,Yes,True,190000.00,97872.80,Titly Paul,30/05/26,1,1,37,Yes,Yes,37,37,30/01/26,904,1096,0,0,4160,,,,,,,0.102,1060.8,,,98493.75,,,,2268.00,2268.00,18/12/2025,29/12/2025,2268.00,KK TAILOR,0,11,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,2268.00,2268.00,29/12/2025,06/01/2026,64660.68,KK TAILOR,0,8,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,90,60,19,19,0,99554.55,66928.68,166483.23,73.41,0.00,-68610.43,48.3
53,,02798/25-26,Demo-JG-LO-FP-2187-0925,Knits - Kids,bangur client,18/09/25,149.00,2000,2000,1096,54.8,Yes,True,190000.00,97872.80,Titly Paul,30/05/26,1,1,0,Yes,Yes,0,0,30/01/26,904,1096,0,0,3320,,,,,,,0.103,926.4,,,125784,,,,2544.00,2544.00,13/11/2025,25/11/2025,2544.00,KK TAILOR,0,12,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,2544.00,2544.00,25/11/2025,05/01/2026,72529.44,KK TAILOR,0,41,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,56,60,53,53,0,126710.40,75073.44,201783.84,79.32,0.00,-103911.04,43.1
53,,02797/25-26,Demo-JG-LO-FP-2186-0925,Knits - Kids,bangur client,18/09/25,149.00,2000,2000,1096,54.8,Yes,True,190000.00,97872.80,Titly Paul,30/05/26,1,1,0,Yes,Yes,0,0,30/01/26,904,1096,0,0,3940,,,,,,,0.101,983.8,,,145388.75,,,,2496.00,2496.00,13/11/2025,25/11/2025,2496.00,KK TAILOR,0,12,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,2496.00,2496.00,25/11/2025,05/01/2026,74655.36,KK TAILOR,0,41,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,56,60,53,53,0,146372.55,77151.36,223523.91,89.55,0.00,-125651.11,43.9
53,,02800/25-26,Demo-JG-LO-FP-2189-0925,Knits - Kids,bangur client,18/09/25,149.00,2000,2000,1096,54.8,Yes,True,190000.00,97872.80,Titly Paul,30/05/26,1,1,54,No,Yes,54,0,30/01/26,904,1096,0,0,4160,,,,,,,0.112,1060.8,,,94867.9,,,,2000.00,1936.00,10/11/2025,25/11/2025,1936.00,KK TAILOR,64,15,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,1936.00,1936.00,25/11/2025,06/01/2026,74555.36,KK TAILOR,0,42,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,0,60,57,57,0,95928.70,76491.36,172420.06,89.06,0.00,-74547.26,56.6
25,,02813/25-26,Demo-JB-WO-CA-SH-HS-RF-00842-0925,Woven,market lmtd,19/09/25,299.00,3000,3000,0,0,Yes,True,510000.00,,MD SAMIM SK,02/05/26,1,1,43,Yes,Yes,43,98,,3000,0,0,0,,,,,3,,,0.562,8868,,,,5442,,203392,3000.00,2828.00,19/02/2026,28/02/2026,4242.00,SAHIN GARMENTS,172,9,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,2828.00,2828.00,19/02/2026,01/04/2026,94738.00,SAHIN GARMENTS,0,41,-,-,-,-,-,-,0,0,2828.00,2828.00,01/04/2026,04/04/2026,16968.00,RAZA WASHING PROCESS,0,3,1800.00,0.00,06/04/2026,-,-,SHANKAR ENTERPRISE IN HOUSE,1800,2,-,-,-,-,-,-,0,0,152,45,44,55,-11,217702.00,115948.00,333650.00,117.98,0.00,-333650.00,0
25,,02812/25-26,Demo-JB-WO-CA-SH-HS-RF-00841-0925,Woven,market lmtd,19/09/25,299.00,3000,3000,0,0,Yes,True,510000.00,,MD SAMIM SK,02/05/26,1,1,43,Yes,Yes,43,55,,3000,0,0,0,6035,,,,,,,0.606,16396,,,,,,233088,3000.00,3004.00,08/01/2026,22/01/2026,4506.00,TIPL- LINE NO-3,0,14,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,3004.00,3004.00,10/01/2026,06/02/2026,97630.00,TIPL- LINE NO-3,0,27,-,-,-,-,-,-,0,0,3004.00,3004.00,06/02/2026,10/02/2026,18024.00,RAZA WASHING PROCESS,0,4,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,103,45,33,45,-12,249484.00,120160.00,369644.00,123.05,0.00,-369644.00,0
25,,02815/25-26,Demo-JB-WO-CA-SH-HS-RF-00844-0925,Woven,market lmtd,19/09/25,299.00,3000,3000,2960,98.7,Yes,True,510000.00,503200.00,MD SAMIM SK,02/05/26,1,1,54,Yes,Yes,54,55,07/04/26,40,2960,0,100,6035,,,,,,,0.602,16396,,,,,,231808,3000.00,3008.00,08/01/2026,19/01/2026,4512.00,TIPL- LINE NO-3,0,11,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,3008.00,3008.00,10/01/2026,31/01/2026,97760.00,TIPL- LINE NO-3,0,21,-,-,-,-,-,-,0,0,3008.00,3008.00,31/01/2026,02/02/2026,18048.00,RAZA WASHING PROCESS,0,2,2960.00,2960.00,02/04/2026,07/04/2026,11544.00,SHANKAR ENTERPRISE IN HOUSE,0,5,-,-,-,-,-,-,0,0,103,62,89,39,50,248204.00,131864.00,380068.00,126.35,0.00,123132.00,98.4
25,,02814/25-26,Demo-JB-WO-CA-SH-HS-RF-00843-0925,Woven,market lmtd,19/09/25,299.00,3000,2999,2949,98.3,Yes,True,510000.00,501330.00,MD SAMIM SK,02/05/26,1,1,54,Yes,Yes,54,55,07/04/26,51,2949,0,0,6235,,,,3621,,,0.61,16996,,,,4788,,234368,3000.00,3004.00,08/01/2026,21/01/2026,4506.00,TIPL- LINE NO-3,0,13,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,3004.00,3004.00,10/01/2026,03/02/2026,97630.00,TIPL- LINE NO-3,0,24,-,-,-,-,-,-,0,0,3004.00,3004.00,03/02/2026,05/02/2026,18024.00,RAZA WASHING PROCESS,0,2,2949.00,2949.00,28/03/2026,07/04/2026,11501.10,SHANKAR ENTERPRISE IN HOUSE,0,10,-,-,-,-,-,-,0,0,103,62,89,49,40,256152.00,131661.10,387813.10,129.10,0.00,113516.90,98.2
-138,,02834/25-26,SC-Demo-WO-CA-SH-HS-RF-00890-0925,Woven,HOME2,24/09/25,399.00,1800,1800,0,0,Yes,False,405000.00,,Ananya Ghosh,20/11/25,1,1,,No,No,,0,,1800,0,0,0,1540,40,,,1552,,,0.218,2446.2,2290,,180148.5,2449.8,,,1800.00,1544.00,22/10/2025,29/10/2025,1544.00,"KNITS CUTTING (BLOCK- 4, 1ST FLOOR)",256,7,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,1544.00,1540.00,29/10/2025,12/11/2025,38500.00,TIPL- LINE NO-1,4,14,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,1540.00,1535.00,13/11/2025,17/11/2025,4144.50,JD ENTERPRISE,5,4,-,-,-,-,-,-,0,0,0,0,26,25,1,187334.50,44188.50,231523.00,126.57,0.00,-231523.00,0
23,,02840/25-26,Demo-MU-KN-CA-SANDO-SF-0695-0925,Knits - Men,HOME2,25/09/25,149.00,400,400,60,15,Yes,True,42000.00,7500.00,Priya Das Chowdhury,30/04/26,1,1,79,Yes,No,79,79,20/03/26,340,60,0,0,4705,10,,,,,,0.218,2902.7,550,,57485.5,,,,444.00,444.00,06/10/2025,17/10/2025,444.00,"KNITS CUTTING (BLOCK- 4, 1ST FLOOR)",0,11,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,444.00,444.00,11/11/2025,05/01/2026,3640.80,TAPARIA BLOCK 4 4TH FLOOR (L FIROZ),0,55,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,1130.00,1130.00,20/03/2026,20/03/2026,3390.00,"AP ENTERPRISE ( PRASENJIT HAZRA ), TIPL BLOCK 4 2ND FLOOR FINISHING ( MUNNA DA )",0,1,-,-,-,-,-,-,0,0,79,0,165,67,98,60938.20,8103.00,69041.20,155.50,0.00,-61541.20,13.5
-128,,03471/25-26,GG_LADIES T-SHIRT,Others,RAINBOW EXIM TRADE LLP,01/10/25,199.00,24745,0,26085,105.4,Yes,True,3192105.00,3364965.00,RAKESH NAYAK,30/11/25,0,1,,No,No,,0,27/12/25,-1340,0,0,0,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0.00,0.00,0.00,157.80,0.00,3364965.00,0
-128,,03471/25-26,LG_FINISHED STOCK,Others,RAINBOW EXIM TRADE LLP,01/10/25,0.00,6290,0,6290,100,Yes,True,849150.00,712340.00,RAKESH NAYAK,30/11/25,0,1,,No,No,,0,27/12/25,0,0,0,0,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0.00,0.00,0.00,157.80,0.00,712340.00,0
-66,,02935/25-26,Demo-JB-WO-CA-CS-HS-RF-00822-0925,Woven,Style fashion,06/10/25,499.00,2400,2400,0,0,Yes,True,768000.00,,Samim Hossain,31/01/26,1,1,124,No,Yes,124,0,,2400,0,0,0,,,,706.65,,,,0.28,,,,256513.95,,,,2520.00,2520.00,11/03/2026,17/03/2026,2520.00,"KNITS CUTTING (BLOCK- 4, 1ST FLOOR)",0,6,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,0,128,6,6,0,256513.95,2520.00,259033.95,102.79,0.00,-259033.95,0
-66,,02941/25-26,Demo-Demo-WO-CA-CS-HS-RF-00828-0925,Woven,Style fashion,06/10/25,599.00,1200,0,0,0,Yes,True,390000.00,,Samim Hossain,31/01/26,0,1,113,Yes,No,113,113,,1200,0,0,0,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0.00,0.00,0.00,,0.00,0,0
-66,,02936/25-26,Demo-JB-WO-CA-CS-HS-RF-00823-0925,Woven,Style fashion,06/10/25,499.00,2400,0,0,0,Yes,True,552000.00,,Samim Hossain,31/01/26,0,1,,No,No,,0,,2400,0,0,0,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0.00,0.00,0.00,,0.00,0,0
-66,,02939/25-26,Demo-JB-WO-CA-CS-HS-RF-00826-0925,Woven,Style fashion,06/10/25,599.00,1000,0,0,0,Yes,True,285000.00,,Samim Hossain,31/01/26,0,1,45,Yes,Yes,45,113,,1000,0,0,0,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,51,0,0,0,0.00,0.00,0.00,,0.00,0,0
-66,,02937/25-26,Demo-Demo-WO-CA-CS-HS-RF-00824-0925,Woven,Style fashion,06/10/25,599.00,2400,2400,0,0,Yes,True,780000.00,,Samim Hossain,31/01/26,1,1,52,Yes,Yes,52,52,,2400,0,0,0,600,,,,,,,0.789,13800,,,262732,,,,2400.00,1636.00,09/03/2026,17/03/2026,1636.00,"DILIP, KNITS CUTTING (BLOCK- 4, 1ST FLOOR)",764,8,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,128,128,8,8,0,276532.00,1636.00,278168.00,170.03,0.00,-278168.00,0
